Samples,cluster_label,subclass_label,class_label,cluster_color,size,gene.counts,broad_class
SM-GE649_S009_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE649_S010_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE649_S011_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE649_S012_E1-50,L5_IT_S100b_2,L5_IT,Glutamatergic,#00CF1E,407,7204,EXCIT
SM-GE649_S013_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE649_S014_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE649_S015_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE649_S016_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE649_S017_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE649_S018_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE649_S019_E1-50,L6_IT_Sulf_1,L6_IT,Glutamatergic,#40bc3c,199,6714,EXCIT
SM-GE649_S020_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE649_S021_E1-50,L5_PT_1,L5_PT,Glutamatergic,#53A367,86,7950,EXCIT
SM-GE649_S022_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE649_S023_E1-50,L6b_Shisa6,L6b,Glutamatergic,#09564c,95,6029,EXCIT
SM-GE649_S024_E1-50,L6b_Shisa6,L6b,Glutamatergic,#09564c,95,6029,EXCIT
SM-GE649_S025_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE649_S026_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE649_S027_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE649_S028_E1-50,Sst_Pvalb_Th,Sst,GABAergic,#FF2F7E,25,5989,MGE
SM-GE649_S029_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE649_S030_E1-50,Sst_Chodl,Sst,GABAergic,#FFFF00,26,5895,MGE
SM-GE649_S031_E1-50,Lamp5_Slc35d3,Lamp5,GABAergic,#FFA388,250,5430,CGE
SM-GE649_S032_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE649_S033_E1-50,Pvalb_Reln,Pvalb,GABAergic,#BC2C51,181,6381,MGE
SM-GE649_S034_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE649_S035_E1-50,Vip_Serpinf1,Vip,GABAergic,#A720FF,37,5530,CGE
SM-GE649_S036_E1-50,Pvalb_Reln,Pvalb,GABAergic,#BC2C51,181,6381,MGE
SM-GE649_S037_E1-50,L6_NP_Trh,L5.6_NP,Glutamatergic,#47867A,108,5537,EXCIT
SM-GE649_S038_E1-50,L6_CT,L6_CT,Glutamatergic,#197a6e,1288,5833,EXCIT
SM-GE649_S039_E1-50,L6_NP_Trh,L5.6_NP,Glutamatergic,#47867A,108,5537,EXCIT
SM-GE649_S041_E1-50,Lamp5_Slc35d3,Lamp5,GABAergic,#FFA388,250,5430,CGE
SM-GE649_S042_E1-50,Lamp5_Slc35d3,Lamp5,GABAergic,#FFA388,250,5430,CGE
SM-GE649_S043_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE649_S044_E1-50,Lamp5_Egln3_2,Lamp5,GABAergic,#E69B73,87,5074,CGE
SM-GE649_S045_E1-50,Lamp5_Egln3_2,Lamp5,GABAergic,#E69B73,87,5074,CGE
SM-GE649_S046_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE649_S047_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE649_S048_E1-50,Vip_Crispld2,Vip,GABAergic,#992E81,98,4519,CGE
SM-GE649_S057_E1-50,Vip_Cbln4,Vip,GABAergic,#B3128A,65,4716,CGE
SM-GE649_S058_E1-50,L5_IT_Rspo1_1,L5_IT,Glutamatergic,#3CBC78,441,5674,EXCIT
SM-GE649_S059_E1-50,L5_IT_Rspo1_1,L5_IT,Glutamatergic,#3CBC78,441,5674,EXCIT
SM-GE649_S060_E1-50,L5_IT_Rspo1_1,L5_IT,Glutamatergic,#3CBC78,441,5674,EXCIT
SM-GE649_S061_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE649_S062_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE649_S063_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE649_S064_E1-50,Vip_Rspo4,Vip,GABAergic,#FF00FF,101,4724,CGE
SM-GE649_S065_E1-50,Lamp5_Egln3_2,Lamp5,GABAergic,#E69B73,87,5074,CGE
SM-GE649_S066_E1-50,Vip_Htr1f,Vip,GABAergic,#FF4DC1,29,4636,CGE
SM-GE649_S067_E1-50,Lamp5_Pdlim5,Lamp5,GABAergic,#FF7290,65,5092,CGE
SM-GE649_S068_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
SM-GE649_S069_E1-50,L2.3_IT,L2.3_IT,Glutamatergic,#81B389,708,6352,EXCIT
